시설명,주소,경도,위도
거제소방서,경상남도 거제시 진목로 1,128.686162892,34.896160085
거창소방서,경상남도 거창군 거창읍 거함대로 3324,127.923447442,35.677620484
고성소방서,경상남도 고성군 고성읍 남해안대로 2670,128.331066159,34.981093394
김해동부소방서,경상남도 김해시 김해대로 2507,128.901161541,35.228565412
김해서부소방서,경상남도 김해시 장유로 341,128.817395559,35.196596896
남해소방서,경상남도 남해군 남해읍 스포츠로 81,127.892610368,34.829581711
밀양소방서,경상남도 밀양시 밀양대로 1760,128.753405357,35.482811678
사천소방서,경상남도 사천시 남일로 29,,
산청소방서,경상남도 산청군 산청읍 중앙로 76-7,127.883835023,35.415077468
양산소방서,경상남도 양산시 물금읍 황산로 719,129.010028030,35.334037335
의령소방서,경상남도 의령군 의령읍 의병로 108-17,128.248187512,35.319275383
진주소방서,경상남도 진주시 동진로 249,128.118484514,35.180354362
창녕소방서,경상남도 창녕군 대지면 우포2로 1097,128.479203495,35.550363329
통영소방서,경상남도 통영시 광도면 죽림4로 49,128.419509000,34.883808636
하동소방서,경상남도 하동군 금성면 금성로 15,127.795562464,34.977864865
함안소방서,경상남도 함안군 가야읍 선왕길 59,128.399985685,35.286201825
함양소방서,경상남도 함양군 함양읍 고운로 161-41,127.742029707,35.523871993
합천소방서,경상남도 합천군 합천읍 인덕로 2453,128.148243938,35.572984491
창원중부경찰서,창원시 의창구 상남로 177,,
창원서부경찰서,창원시 의창구 우곡로 10,128.636852042,35.251697177
마산중부경찰서,창원시 마산합포구 3·15대로 147,128.564123534,35.192226428
마산동부경찰서,창원시 마산합포구 합성남17길 56,,
진주경찰서,진주시 비봉로24번길 3,128.081896784,35.193075881
김해중부경찰서,김해시 김해대로 2307,128.879749015,35.226873506
김해서부경찰서,김해시 장유면 계동로 175,,
진해경찰서,창원시 진해구 진해대로815,128.703684875,35.156447146
통영경찰서,통영시 광도면 죽림3로 53,128.420033330,34.882909987
사천경찰서,사천시 남일로 37,128.081072331,34.933433375
거제경찰서,거제시 진목1길 2,128.686732216,34.898707071
밀양경찰서,밀양시 상남면 밀양대로 1545,128.760899733,35.469333186
양산경찰서,양산시 물금읍신주4길 8,129.016542664,35.338208837
거창경찰서,거창군 거창읍 중앙로 97,127.909037721,35.686156821
합천경찰서,합천군 합천읍 황강체육공원로 67,128.169596788,35.563904336
창녕경찰서,창녕군 창녕읍 종로 38-6,128.500715169,35.540627697
고성경찰서,고성군 고성읍 중앙로 113,128.333153541,34.976014149
하동경찰서,하동군 하동읍 경서대로 139,127.749043193,35.067890785
남해경찰서,남해군 남해읍 화전로 89,127.893073963,34.839566956
함양경찰서,함양군 함양읍 학사루길 12,127.725832522,35.519350052
산청경찰서,산청군 산청읍 중앙로 1,127.874477601,35.416449928
함안경찰서,함안군 가야읍 가야로 85,128.411209490,35.278794948
의령경찰서,의령군 의령읍 충익로 53,128.261156519,35.321101701
